TITLE,"Ovid, Heroides"
AB,"13_108, 8_110, 9_96, 12_20, 10_48, 20_5, 10_138, 16_346, 3_95, 21_105, 20_11, 18_141, 7_84, 19_125, 9_120, 7_82, 16_254, 3_152, 20_70, 16_376, 8_48, 20_148, 6_82, 21_122, 18_69, 16_21, 16_208, 15_38, 7_22, 1_43, 16_279, 4_75, 17_254, 20_31, 5_21, 17_238, 11_46, 21_210, 16_339, 16_213, 6_156, 3_42, 2_86, 4_137, 12_156, 5_129, 4_96, 11_80, 19_148, 6_156, 13_49, 6_106, 6_151, 10_9, 5_150, 18_9, 21_166, 9_36, 16_143, 13_126, 4_113, 17_62, 3_39, 21_182, 5_33, 6_27, 16_236, 15_165, 13_114, 7_36, 1_15, 4_6, 10_16, 6_23, 8_73, 6_108, 11_82, 11_4, 20_159, 3_1, 12_7, 9_93, 21_234, 4_25, 14_83, 19_183, 14_28, 18_122, 13_12, 19_70, 4_32, 16_256, 1_30"
ABDICO/1,4_128
ABDO,6_86
ABDVCO,"16_343, 8_86, 16_359"
ABEO/1,"2_99, 12_153, 15_83, 13_23, 6_60, 2_91, 3_141, 12_57, 14_37, 8_80, 1_60, 16_314, 19_66, 16_158, 15_173, 2_47, 5_55, 12_57, 17_206"
ABICIO,7_3
ABIES,5_41
ABRIPIO,13_15
ABSCINDO,12_155
ABSTINEO,17_100
ABSTRAHO,"16_156, 6_59, 14_83"
ABSVM/1,"8_81, 4_109, 19_70, 16_300, 1_80, 15_78, 17_167, 3_21, 9_33, 20_70, 14_80, 15_125, 2_2, 17_181, 4_109, 17_173, 16_236, 13_133, 1_93, 9_43, 5_11, 1_66, 20_93, 1_57, 20_81, 2_23, 16_305, 1_50, 17_167, 18_191, 17_156, 6_91, 19_110"
ABVNDO,"16_356, 6_76"
ABYDENVS/A,"18_1, 19_100"
ABYDVS/N,"19_29, 18_12, 18_127, 19_30"
ACASTVS/N,13_25
ACCEDO/1,"1_96, 18_204, 18_91, 9_1, 15_24, 21_19, 15_71, 2_129, 7_137"
ACCENDO,"15_10, 12_140"
ACCEPTVS,"21_52, 17_73"
ACCESSVS,10_64
ACCIDO/1,21_51
ACCIPIO,"14_118, 21_198, 4_6, 14_24, 7_152, 16_114, 4_121, 13_152, 12_31, 5_42, 16_42, 15_130, 10_52, 3_40, 10_51"
ACCVMVLO,15_70
ACCVSO,20_73
ACER/2,"20_15, 4_70, 19_15"
ACERBVS,"21_48, 6_160, 8_107, 15_60"
ACHAIA/N,"8_13, 17_211, 16_187"
ACHAIAS/A,3_71
ACHELOIVS/A,16_267
ACHELOVS/N,9_139
ACHILLES/N,"3_41, 20_71, 8_45, 3_25, 8_85, 3_137"
ACHILLIDES/N,8_3
ACHIVVS/A,1_21
ACIES,18_32
ACONTIVS/N,"21_105, 20_241, 21_231, 21_211"
ACTAEON/N,20_105
ACTAEVS/A,"18_42, 2_6"
ACTIACVS/A,"15_166, 15_185"
ACTOR,1_95
ACTVM,"8_33, 2_85, 8_43, 6_101"
ACTVTVM,12_209
ACVMEN,21_212
ACVS/3,6_92
ACVTVS,"5_137, 3_119, 14_45, 4_159"
